,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1082,CHEMBL200495,COc1ccc2c(c1)c(Cc1ccccc1OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Active,463.91700000000014,5.354420000000005,1.0,5.0,6.47755576649368
1083,CHEMBL175310,COc1ccc2c(c1)c(Cc1cccc(OCC(=O)O)c1)c(C)n2C(=O)c1ccc(Cl)cc1,Intermediate,463.91700000000014,5.354420000000005,1.0,5.0,5.0
1084,CHEMBL173828,COc1ccc2c(c1)c(Cc1ccc(OCC(=O)O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,Active,463.91700000000014,5.354420000000005,1.0,5.0,7.075720713938118
1085,CHEMBL177831,COc1ccc2c(c1)c(Cc1ccccc1OC(C)C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Active,477.9440000000002,5.742920000000004,1.0,5.0,7.075720713938118
1086,CHEMBL196775,C[C@@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1,Intermediate,474.8590000000001,5.297300000000005,1.0,5.0,5.568636235841013
1087,CHEMBL425921,COc1ccc2c(c1)c(Cc1ccccc1C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Intermediate,433.8910000000002,5.5892200000000045,1.0,4.0,5.2020403562628035
1088,CHEMBL197738,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(C(F)(F)F)cc1,Intermediate,436.47,6.407800000000005,1.0,3.0,6.6777807052660805
1089,CHEMBL373286,CCCc1cc(C(=O)CC)cc(CCC)c1CC(C(=O)O)c1ccc(C(C)C)cc1,Intermediate,408.5820000000001,6.718600000000007,1.0,2.0,4.301029995663981
1090,CHEMBL197221,CCCc1cc(C(=O)CC)cc(CCC)c1NC(C(=O)O)c1ccc(C(C)C)cc1,Intermediate,409.5700000000001,6.545500000000006,2.0,3.0,4.301029995663981
1091,CHEMBL381876,CCCc1cc2c(oc(=O)n2C)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Intermediate,425.5250000000001,5.364600000000005,1.0,5.0,7.070581074285707
1092,CHEMBL371098,CCCc1cc2c(oc(=O)n2CC)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Active,439.55200000000013,5.8475000000000055,1.0,5.0,7.00436480540245
1093,CHEMBL411423,CCCc1cc2c(oc(=O)n2CCC)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Intermediate,453.5790000000001,6.237600000000007,1.0,5.0,7.060480747381382
1094,CHEMBL197527,CCCc1cc2c(oc(=O)n2C(C)C)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Intermediate,453.5790000000002,6.408500000000007,1.0,5.0,7.292429823902063
1095,CHEMBL198929,CCCc1cc2c(oc(=O)n2CC2CC2)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Intermediate,465.59000000000015,6.237600000000007,1.0,5.0,6.920818753952375
1096,CHEMBL197496,CCCc1cc2c(oc(=O)n2CC(F)(F)F)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Active,493.5220000000003,6.389900000000006,1.0,5.0,6.958607314841775
