molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL981,C#CCOC(=O)N1CCc2c(OCCc3nc(-c4ccccc4)oc3C)ccc(CCC(=O)O)c2C1,Inactive,24.0
CHEMBL121,CCCOC(=O)N1CCc2c(OCCc3nc(-c4ccc(-c5ccccc5)cc4)oc3C)ccc(CCC(=O)O)c2C1,Active,21.0
CHEMBL234659,CCCOC(=O)N1CCc2c(OCCc3nc(-c4ccccc4)oc3C)ccc(CCC(=O)O)c2C1,Inactive,11.0
CHEMBL234660,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)OCc2ccccc2)c1,Inactive,91.0
CHEMBL392950,Cc1sc(N2CCOCC2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)OC(C)C)c1,Inactive,22.0
CHEMBL234663,Cc1oc(-c2ccc(-c3ccccc3)cc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)Oc2cnccn2)c1,Intermediate,26.0
CHEMBL234662,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)Oc2cnccn2)c1,Inactive,17.0
CHEMBL232396,Cc1oc(-c2ccc(-c3ncccn3)cc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)OC(C)C)c1,Inactive,50.0
CHEMBL391479,Cc1oc(-c2ccc(Oc3ccccc3)cc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)OC(C)C)c1,Inactive,50.0
CHEMBL232395,Cc1oc(-c2ccc(-c3ccccc3)cc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)OC(C)C)c1,Intermediate,47.0
CHEMBL391478,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)OC(C)C)c1,Intermediate,26.0
CHEMBL233177,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CCC(=O)O)c(CNS(=O)(=O)Cc2ccccc2)c1,Inactive,72.0
CHEMBL233978,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)CCc2ccccc2)c1,Inactive,161.0
CHEMBL231690,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)NCc2ccccc2)c1,Inactive,706.0
CHEMBL393373,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Inactive,10000.0
CHEMBL231689,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Inactive,67.0
CHEMBL231688,COc1cc(OCC(=O)O)c(C)cc1SCc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,Inactive,23600.0
CHEMBL393767,Cc1cc(SCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)ccc1OCC(=O)O,Inactive,11000.0
CHEMBL234801,O=C(O)COc1ccc(SCc2ccc(OCc3ccc(F)cc3C(F)(F)F)cc2)c2c1CCC2,Inactive,11100.0
CHEMBL234800,O=C(O)COc1ccc(SCc2ccc(OCc3ccccc3)cc2)c2c1CCC2,Inactive,7570.0
CHEMBL234799,COc1ccc(COc2ccc(CSc3ccc(OCC(=O)O)c4c3CCC4)cc2)cc1,Intermediate,13800.0
CHEMBL393766,Cc1cc(SCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)c2c(c1OCC(=O)O)CCC2,Inactive,21600.0
CHEMBL234589,Cc1cc(SCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)c2c(c1OCC(=O)O)CCCO2,Intermediate,33300.0
CHEMBL234588,O=C(O)COc1ccc(SCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)c2c1CCCO2,Intermediate,5560.0
CHEMBL234587,Cc1cc(SCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)c(Cl)cc1OCC(=O)O,Intermediate,9120.0
CHEMBL234383,O=C(O)COc1ccc(SCc2ccc(OCc3ccc(OC(F)(F)F)cc3)cc2)c2c1CCC2,Inactive,11100.0
CHEMBL234382,O=C(O)Cc1csc2cc(OCc3cc(-c4ccc(Cl)cc4)on3)ccc12,Inactive,10000.0
CHEMBL391085,Cc1nc(C(F)(F)F)sc1CSc1ccc2c(ccn2CC(=O)O)c1,Intermediate,10000.0
CHEMBL234169,O=C(O)Cn1ccc2cc(OCc3ccc(Oc4ccc(C(F)(F)F)cc4)cc3)ccc21,Inactive,10000.0
CHEMBL391084,O=C(O)Cn1ccc2cc(OCc3cccc(COc4ccc(C(F)(F)F)cc4)c3)ccc21,Intermediate,10000.0
CHEMBL234168,O=C(O)Cn1ccc2cc(OCc3ccccc3COc3ccc(C(F)(F)F)cc3)ccc21,Inactive,10000.0
CHEMBL391068,O=C(O)Cn1ccc2cc(OCc3cc(-c4ccc(C(F)(F)F)cc4)on3)ccc21,Inactive,10000.0
CHEMBL233976,Cc1nc(C(F)(F)F)sc1COc1ccc2c(ccn2CC(=O)O)c1,Inactive,10000.0
CHEMBL392058,O=C(O)Cc1coc2cc(OCc3ccc(COc4ccc(C(F)(F)F)cc4)cc3)ccc12,Active,10000.0
CHEMBL121,O=C(O)Cc1coc2cc(OCc3cccc(COc4ccc(C(F)(F)F)cc4)c3)ccc12,Active,5400.0
CHEMBL401236,O=C(O)Cc1coc2cc(OCc3ccccc3COc3ccc(C(F)(F)F)cc3)ccc12,Active,10000.0
CHEMBL238357,O=C(O)Cc1csc2cc(OCc3ccc(COc4ccc(C(F)(F)F)cc4)cc3)ccc12,Active,3730.0
CHEMBL238152,O=C(O)Cc1csc2cc(OCc3cccc(COc4ccc(C(F)(F)F)cc4)c3)ccc12,Active,5790.0
CHEMBL235143,Cc1cc2c(CC(=O)O)csc2cc1OCc1ccccc1COc1ccc(C(F)(F)F)cc1,Active,7580.0
CHEMBL399417,O=C(O)Cc1csc2cc(OCc3ccccc3COc3ccc(C(F)(F)F)cc3)ccc12,Active,10000.0
CHEMBL399217,Cc1cc(OCc2cc(-c3ccc(C(F)(F)F)cc3)on2)cc2scc(CC(=O)O)c12,Active,10000.0
